participantID,experimentType,experiment_category,rlAgentType,player1FirstDetectedGoal,player1FinalReachedGoal,firstDetectedSharedGoal,commitment
P001,1P2G,1P2G,joint,0.0,2.0,,0.0
P001,1P2G,1P2G,joint,0.0,0.0,,1.0
P001,1P2G,1P2G,joint,1.0,1.0,,1.0
p007,1P2G,1P2G,individual,1.0,1.0,,1.0
p007,1P2G,1P2G,individual,0.0,0.0,,1.0
p007,1P2G,1P2G,individual,1.0,1.0,,1.0
p007,1P2G,1P2G,individual,0.0,0.0,,1.0
p007,1P2G,1P2G,individual,1.0,2.0,,0.0
p007,1P2G,1P2G,individual,1.0,2.0,,0.0
p007,1P2G,1P2G,individual,0.0,0.0,,1.0
p007,1P2G,1P2G,individual,1.0,1.0,,1.0
p006,1P2G,1P2G,joint,1.0,1.0,,1.0
p006,1P2G,1P2G,joint,0.0,0.0,,1.0
p006,1P2G,1P2G,joint,0.0,2.0,,0.0
p006,1P2G,1P2G,joint,1.0,2.0,,0.0
p006,1P2G,1P2G,joint,1.0,0.0,,0.0
p006,1P2G,1P2G,joint,0.0,2.0,,0.0
p006,1P2G,1P2G,joint,1.0,1.0,,1.0
p006,1P2G,1P2G,joint,0.0,0.0,,1.0
P004,1P2G,1P2G,joint,0.0,2.0,,0.0
P004,1P2G,1P2G,joint,1.0,1.0,,1.0
P004,1P2G,1P2G,joint,0.0,0.0,,1.0
P004,1P2G,1P2G,joint,1.0,1.0,,1.0
P004,1P2G,1P2G,joint,0.0,0.0,,1.0
P004,1P2G,1P2G,joint,1.0,1.0,,1.0
P004,1P2G,1P2G,joint,0.0,0.0,,1.0
P004,1P2G,1P2G,joint,0.0,0.0,,1.0
P009,1P2G,1P2G,individual,1.0,1.0,,1.0
P009,1P2G,1P2G,individual,0.0,0.0,,1.0
P009,1P2G,1P2G,individual,1.0,1.0,,1.0
P009,1P2G,1P2G,individual,0.0,0.0,,1.0
P009,1P2G,1P2G,individual,0.0,0.0,,1.0
P009,1P2G,1P2G,individual,1.0,1.0,,1.0
P009,1P2G,1P2G,individual,0.0,0.0,,1.0
P009,1P2G,1P2G,individual,0.0,2.0,,0.0
P010,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P010,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P010,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P010,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P010,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P010,2P3G,2P3G,joint,0.0,2.0,0.0,0.0
P010,2P3G,2P3G,joint,1.0,0.0,,
P010,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P008,2P3G,2P3G,joint,1.0,1.0,1.0,0.0
P008,2P3G,2P3G,joint,1.0,2.0,,
P008,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P008,2P3G,2P3G,joint,1.0,1.0,1.0,0.0
P008,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P008,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P008,2P3G,2P3G,joint,1.0,1.0,1.0,1.0
P008,2P3G,2P3G,joint,0.0,0.0,0.0,0.0
P005,2P3G,2P3G,individual,0.0,0.0,0.0,1.0
P005,2P3G,2P3G,individual,0.0,0.0,0.0,1.0
P005,2P3G,2P3G,individual,1.0,1.0,1.0,1.0
P005,2P3G,2P3G,individual,0.0,2.0,0.0,0.0
P005,2P3G,2P3G,individual,1.0,1.0,1.0,1.0
P005,2P3G,2P3G,individual,0.0,2.0,0.0,0.0
P005,2P3G,2P3G,individual,1.0,1.0,1.0,1.0
P005,2P3G,2P3G,individual,1.0,1.0,1.0,0.0
P001,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P001,2P3G,2P3G,joint,1.0,1.0,1.0,1.0
P001,2P3G,2P3G,joint,1.0,1.0,1.0,1.0
P001,2P3G,2P3G,joint,1.0,1.0,1.0,1.0
P001,2P3G,2P3G,joint,1.0,1.0,1.0,1.0
P001,2P3G,2P3G,joint,0.0,2.0,0.0,0.0
P001,2P3G,2P3G,joint,0.0,2.0,0.0,0.0
P001,2P3G,2P3G,joint,1.0,1.0,1.0,1.0
P001,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P001,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P001,2P3G,2P3G,joint,1.0,2.0,1.0,0.0
P001,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
p007,2P3G,2P3G,individual,0.0,0.0,0.0,1.0
p007,2P3G,2P3G,individual,0.0,0.0,0.0,1.0
p007,2P3G,2P3G,individual,1.0,2.0,1.0,0.0
p007,2P3G,2P3G,individual,1.0,1.0,1.0,1.0
p007,2P3G,2P3G,individual,1.0,0.0,,
p007,2P3G,2P3G,individual,1.0,2.0,1.0,0.0
p007,2P3G,2P3G,individual,1.0,1.0,1.0,1.0
p007,2P3G,2P3G,individual,1.0,0.0,0.0,1.0
p006,2P3G,2P3G,joint,,,,
p006,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
p006,2P3G,2P3G,joint,0.0,0.0,0.0,0.0
p006,2P3G,2P3G,joint,1.0,2.0,1.0,0.0
p006,2P3G,2P3G,joint,0.0,0.0,,
p006,2P3G,2P3G,joint,1.0,1.0,,
p006,2P3G,2P3G,joint,0.0,0.0,,
p006,2P3G,2P3G,joint,1.0,1.0,,
P004,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P004,2P3G,2P3G,joint,1.0,0.0,1.0,0.0
P004,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P004,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P004,2P3G,2P3G,joint,1.0,2.0,1.0,0.0
P004,2P3G,2P3G,joint,1.0,1.0,,
P004,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P004,2P3G,2P3G,joint,0.0,0.0,0.0,1.0
P009,2P3G,2P3G,individual,1.0,2.0,1.0,0.0
P009,2P3G,2P3G,individual,0.0,1.0,,
P009,2P3G,2P3G,individual,1.0,1.0,1.0,1.0
P009,2P3G,2P3G,individual,0.0,0.0,0.0,1.0
P009,2P3G,2P3G,individual,0.0,0.0,0.0,1.0
P009,2P3G,2P3G,individual,1.0,1.0,1.0,1.0
P009,2P3G,2P3G,individual,1.0,1.0,1.0,1.0
P009,2P3G,2P3G,individual,0.0,0.0,0.0,0.0
